iter	Logloss
0	0.6796667332
1	0.6679730967
2	0.6554852774
3	0.6414237747
4	0.63142803
5	0.6192458692
6	0.6093449709
7	0.6000854469
8	0.5921280819
9	0.5842862057
10	0.5741646744
11	0.566861789
12	0.5599632039
13	0.5522309279
14	0.5460088505
15	0.539860932
16	0.5338601418
17	0.5275641073
18	0.5226975232
19	0.5178609348
20	0.5131561965
21	0.509096087
22	0.5044279052
23	0.5004830256
24	0.4968342957
25	0.493201229
26	0.4895957776
27	0.4855422729
28	0.4818778422
29	0.4787241504
30	0.4760607538
31	0.4727979716
32	0.4703817803
33	0.4676915743
34	0.4656624334
35	0.4635853122
36	0.4613602379
37	0.4595337442
38	0.4573178262
39	0.4551900494
40	0.4535716363
41	0.4518185935
42	0.4503267844
43	0.4485515824
44	0.4468066127
45	0.4454170881
46	0.4441135833
47	0.4423764214
48	0.4413566992
49	0.4396275166
50	0.4384375819
51	0.4369750329
52	0.43592729
53	0.4349084217
54	0.4339022256
55	0.4328724222
56	0.431653732
57	0.4307560678
58	0.429836653
59	0.4289992492
60	0.4278961032
61	0.4270485273
62	0.426033912
63	0.4252792587
64	0.4244112515
65	0.4237398734
66	0.4231198094
67	0.4224335834
68	0.4217076539
69	0.4211578585
70	0.4205282198
71	0.4198934659
72	0.4192295277
73	0.4186927177
74	0.418151642
75	0.4176747874
76	0.4171291507
77	0.4166679192
78	0.4161128087
79	0.4155721632
80	0.4151869503
81	0.4144352876
82	0.4138704676
83	0.4134324203
84	0.4130530997
85	0.4124447628
86	0.4118459246
87	0.4113560384
88	0.4109710065
89	0.4105429543
90	0.4102860939
91	0.4097204492
92	0.4092549038
93	0.408848787
94	0.408423468
95	0.4080200211
96	0.4075592241
97	0.407009753
98	0.4065573122
99	0.4062580312
100	0.405889778
101	0.4056339719
102	0.4052824836
103	0.405036446
104	0.4046168797
105	0.4043379691
106	0.4040332456
107	0.4038148117
108	0.4035544059
109	0.4033152301
110	0.4029940114
111	0.4027769891
112	0.4025515839
113	0.4022490099
114	0.4019957869
115	0.4017551897
116	0.4015317006
117	0.4013351841
118	0.4010361437
119	0.4008421098
120	0.4006947705
121	0.4003801022
122	0.4001539903
123	0.3998606407
124	0.3997027205
125	0.3994456284
