iter	Passed	Remaining
415	2211	3104
416	2215	3097
417	2219	3090
418	2224	3084
419	2228	3077
420	2232	3069
421	2236	3062
422	2240	3055
423	2244	3048
424	2248	3041
425	2252	3034
426	2256	3027
427	2260	3020
428	2264	3014
429	2268	3007
430	2272	3000
431	2276	2993
432	2280	2986
433	2284	2979
434	2289	2973
435	2293	2966
436	2297	2959
437	2302	2954
438	2308	2949
439	2312	2942
440	2316	2936
441	2320	2929
442	2324	2922
443	2328	2915
444	2332	2909
445	2336	2902
446	2340	2896
447	2345	2889
448	2348	2882
449	2352	2875
450	2357	2869
451	2362	2864
452	2366	2857
453	2370	2850
454	2374	2844
455	2378	2837
456	2382	2831
457	2386	2824
458	2391	2818
459	2395	2811
460	2399	2805
461	2403	2798
462	2407	2791
463	2411	2785
464	2415	2778
465	2419	2772
466	2423	2765
467	2427	2759
468	2431	2753
469	2435	2746
470	2439	2740
471	2443	2733
472	2447	2727
473	2451	2720
474	2455	2714
475	2460	2708
476	2464	2702
477	2468	2695
478	2472	2689
479	2477	2683
480	2481	2677
481	2485	2671
482	2490	2665
483	2495	2660
484	2499	2653
485	2504	2648
486	2509	2643
487	2514	2638
488	2518	2631
489	2522	2625
490	2526	2619
491	2530	2613
492	2534	2606
493	2538	2600
494	2542	2594
495	2546	2587
496	2550	2581
497	2554	2575
498	2559	2569
499	2563	2563
500	2567	2556
501	2571	2550
502	2575	2544
503	2579	2538
504	2582	2531
505	2587	2525
506	2591	2519
507	2595	2513
508	2599	2507
509	2603	2501
510	2607	2495
511	2611	2489
512	2615	2483
513	2619	2477
514	2623	2471
515	2627	2464
516	2632	2458
517	2636	2453
518	2640	2447
519	2644	2440
520	2648	2434
521	2652	2428
522	2656	2422
523	2660	2416
524	2664	2410
525	2668	2404
526	2672	2398
527	2676	2392
528	2680	2386
529	2683	2380
530	2688	2374
531	2691	2368
532	2695	2362
533	2699	2356
534	2703	2349
535	2709	2345
536	2715	2340
537	2719	2334
538	2723	2329
539	2727	2323
540	2731	2317
541	2735	2311
542	2739	2305
543	2743	2299
544	2747	2293
545	2751	2287
546	2755	2281
547	2758	2275
548	2763	2270
549	2767	2264
550	2771	2258
551	2775	2252
552	2779	2246
553	2783	2240
554	2788	2235
555	2793	2230
556	2797	2224
557	2801	2218
558	2804	2212
559	2810	2208
560	2816	2203
561	2820	2198
562	2825	2192
563	2829	2187
564	2832	2181
565	2837	2175
566	2841	2169
567	2845	2164
568	2850	2158
569	2854	2153
570	2858	2147
571	2862	2142
572	2867	2136
573	2871	2130
574	2875	2125
575	2879	2119
576	2883	2113
577	2887	2108
578	2891	2102
579	2895	2096
580	2899	2091
581	2903	2085
582	2907	2079
583	2911	2074
584	2915	2068
585	2919	2062
586	2923	2056
587	2927	2051
588	2931	2045
589	2935	2039
590	2939	2034
591	2943	2028
592	2947	2023
593	2951	2017
594	2955	2011
595	2959	2006
596	2963	2000
597	2967	1994
598	2970	1988
599	2975	1983
600	2981	1979
601	2987	1974
602	2991	1969
603	2995	1964
604	3001	1959
605	3006	1954
606	3011	1949
607	3016	1944
608	3020	1939
609	3025	1934
610	3031	1929
611	3035	1924
612	3040	1919
613	3044	1914
614	3048	1908
615	3052	1902
616	3056	1897
617	3060	1891
618	3064	1886
619	3068	1880
620	3072	1874
621	3076	1869
622	3080	1863
623	3084	1858
624	3087	1852
625	3092	1847
626	3096	1841
627	3100	1836
628	3104	1831
629	3108	1825
630	3112	1820
631	3116	1814
632	3120	1809
633	3124	1803
634	3128	1798
635	3133	1793
636	3136	1787
637	3140	1782
638	3144	1776
639	3148	1771
640	3153	1766
641	3157	1760
642	3161	1755
643	3165	1749
644	3169	1744
645	3173	1738
646	3177	1733
647	3181	1728
648	3185	1722
649	3189	1717
650	3193	1711
651	3197	1706
652	3201	1701
653	3206	1696
654	3211	1691
655	3216	1686
656	3220	1681
657	3224	1676
658	3228	1670
659	3232	1665
660	3236	1660
661	3243	1656
662	3247	1650
663	3251	1645
664	3255	1640
665	3259	1634
666	3263	1629
667	3267	1623
668	3271	1618
669	3275	1613
670	3279	1608
671	3285	1603
672	3290	1598
673	3296	1594
674	3300	1589
675	3305	1584
676	3309	1578
677	3313	1573
678	3317	1568
679	3321	1563
680	3326	1558
681	3329	1552
682	3334	1547
683	3338	1542
684	3342	1537
685	3346	1531
686	3350	1526
687	3354	1521
688	3358	1516
689	3362	1510
690	3366	1505
691	3370	1500
692	3374	1494
693	3378	1489
694	3382	1484
695	3386	1478
696	3390	1473
697	3394	1468
698	3398	1463
699	3402	1458
700	3406	1452
701	3411	1448
702	3416	1443
703	3420	1438
704	3425	1433
705	3429	1428
706	3433	1422
707	3437	1417
708	3441	1412
709	3445	1407
710	3449	1402
711	3453	1396
712	3457	1391
713	3461	1386
714	3465	1381
715	3469	1376
716	3473	1371
717	3477	1365
718	3481	1360
719	3485	1355
720	3489	1350
721	3493	1345
722	3498	1340
723	3502	1335
724	3506	1329
725	3510	1324
726	3516	1320
727	3520	1315
728	3524	1310
729	3528	1305
730	3533	1300
731	3537	1295
732	3541	1289
733	3545	1284
734	3549	1279
735	3553	1274
736	3557	1269
737	3562	1264
738	3566	1259
739	3570	1254
740	3574	1249
741	3578	1244
742	3582	1239
743	3586	1234
744	3590	1229
745	3595	1224
746	3599	1219
747	3604	1214
748	3608	1209
749	3612	1204
750	3616	1199
751	3621	1194
752	3625	1189
753	3628	1183
754	3633	1178
755	3637	1173
756	3641	1168
757	3644	1163
758	3649	1158
759	3652	1153
760	3656	1148
761	3660	1143
762	3664	1138
763	3668	1133
764	3673	1128
765	3677	1123
766	3681	1118
767	3685	1113
768	3689	1108
769	3693	1103
770	3697	1098
771	3701	1093
772	3705	1088
773	3709	1083
774	3714	1078
775	3720	1073
776	3724	1068
777	3727	1063
778	3732	1058
779	3736	1053
780	3740	1048
781	3744	1043
782	3748	1038
783	3752	1033
784	3756	1028
785	3761	1024
786	3764	1018
787	3769	1013
788	3772	1008
789	3776	1003
790	3780	999
791	3785	994
792	3789	989
793	3793	984
794	3797	979
795	3801	974
796	3805	969
797	3809	964
798	3814	959
799	3817	954
800	3821	949
801	3825	944
802	3829	939
803	3834	934
804	3838	929
805	3842	924
806	3846	919
807	3850	915
808	3854	910
809	3858	905
810	3862	900
811	3866	895
812	3871	890
813	3874	885
814	3879	880
815	3882	875
816	3886	870
817	3890	865
818	3894	860
819	3898	855
820	3903	851
821	3908	846
822	3912	841
823	3917	836
824	3922	832
825	3926	827
826	3931	822
827	3935	817
828	3939	812
829	3943	807
830	3947	802
831	3950	797
832	3954	792
833	3958	787
834	3963	783
835	3967	778
836	3973	773
837	3977	768
838	3982	764
839	3985	759
840	3990	754
841	3994	749
842	3997	744
843	4002	739
844	4006	734
845	4010	729
846	4013	725
847	4018	720
848	4026	716
849	4030	711
850	4034	706
851	4038	701
852	4042	696
853	4047	691
854	4051	687
855	4055	682
856	4059	677
857	4063	672
858	4067	667
859	4071	662
860	4075	658
861	4079	653
862	4084	648
863	4088	643
864	4092	638
865	4096	633
866	4100	629
867	4104	624
868	4108	619
869	4112	614
870	4116	609
871	4120	604
872	4124	600
873	4128	595
874	4132	590
875	4136	585
876	4140	580
877	4144	575
878	4148	571
879	4152	566
880	4155	561
881	4159	556
882	4163	551
883	4167	546
884	4171	542
885	4176	537
886	4180	532
887	4184	527
888	4188	522
889	4193	518
890	4197	513
891	4201	508
892	4205	503
893	4209	499
894	4213	494
895	4217	489
896	4222	484
897	4228	480
898	4232	475
899	4237	470
900	4241	466
901	4245	461
902	4249	456
903	4254	451
904	4258	447
905	4262	442
906	4266	437
907	4270	432
908	4274	427
909	4278	423
910	4282	418
911	4286	413
912	4290	408
913	4294	404
914	4298	399
915	4301	394
916	4305	389
917	4309	384
918	4313	380
919	4317	375
920	4321	370
921	4325	365
922	4329	361
923	4333	356
924	4337	351
925	4342	346
926	4346	342
927	4350	337
928	4354	332
929	4358	328
930	4362	323
931	4367	318
932	4371	313
933	4375	309
934	4379	304
935	4383	299
936	4387	295
937	4391	290
938	4395	285
939	4399	280
940	4403	276
941	4408	271
942	4412	266
943	4416	261
944	4420	257
945	4427	252
946	4431	247
947	4435	243
948	4439	238
